iter	Logloss
0	0.6409882726
1	0.5940061473
2	0.5662897209
3	0.5369434416
4	0.517878508
5	0.5033282757
6	0.4865180317
7	0.4712544925
8	0.4626160802
9	0.4526611043
10	0.4445715732
11	0.4386708093
12	0.4335232659
13	0.4282602895
14	0.4246000412
15	0.4207083901
16	0.4174606208
17	0.4159261031
18	0.41436665
19	0.4126769066
20	0.4115101424
21	0.4099105441
22	0.4084072395
23	0.4062379399
24	0.4055475048
25	0.404047646
26	0.4031470428
27	0.4014139869
28	0.400760394
29	0.4002419711
30	0.3985929478
31	0.3973068249
32	0.3961791992
33	0.395599847
34	0.3950322832
35	0.3944311852
36	0.3935198554
37	0.3929856573
38	0.3927961141
39	0.3921504474
40	0.3918625084
41	0.3913597352
42	0.3912008243
43	0.3907231115
44	0.3907170995
45	0.3900469199
46	0.389730099
47	0.3896042508
48	0.3894821149
49	0.3894672943
50	0.3890049448
51	0.3883395724
52	0.3881769566
53	0.3870054817
54	0.3867174919
55	0.3866302211
56	0.3866263027
57	0.3866179714
58	0.3865889425
59	0.3860515704
60	0.3859472914
61	0.3856130343
62	0.3850555465
63	0.3845190444
64	0.3843578517
65	0.3839435967
66	0.3837379016
67	0.3837378872
68	0.3831294134
69	0.382971114
70	0.3828640532
71	0.3828129902
72	0.3826262963
73	0.3821023067
74	0.3816809329
75	0.3812450768
76	0.3811715533
77	0.3807512293
78	0.3806583998
79	0.3802353866
80	0.3801615334
81	0.3793404792
82	0.3782863978
83	0.3782601504
84	0.3778675532
85	0.3770386829
86	0.3767884403
87	0.376759443
88	0.3766729218
89	0.3759404448
90	0.3754293188
91	0.3752349922
92	0.3748484399
93	0.374372547
94	0.3733160286
95	0.3728381475
96	0.3727324946
97	0.3724566364
98	0.3721643997
99	0.3718790202
100	0.371340638
101	0.3710753186
102	0.3705850422
103	0.3701693469
104	0.3696726673
105	0.3693951629
106	0.3690666639
107	0.3684874203
108	0.3681363477
109	0.3677823022
110	0.3673128229
111	0.3669440636
