iter	Passed	Remaining
0	193	96405
1	234	58510
2	256	42450
3	299	37162
4	332	32962
5	359	29597
6	394	27760
7	436	26869
8	457	24984
9	498	24423
10	539	24000
11	582	23687
12	621	23281
13	664	23051
14	705	22798
15	746	22595
16	792	22513
17	835	22364
18	855	21659
19	896	21509
20	938	21414
21	981	21335
22	1020	21172
23	1062	21073
24	1090	20716
25	1131	20626
26	1174	20579
27	1214	20476
28	1255	20392
29	1297	20332
30	1341	20294
31	1389	20322
32	1432	20269
33	1474	20205
34	1516	20151
35	1558	20087
36	1600	20023
37	1643	19982
38	1684	19906
39	1726	19852
40	1770	19818
41	1811	19755
42	1877	19952
43	1943	20138
44	1970	19922
45	2011	19847
46	2051	19775
47	2079	19582
48	2131	19622
49	2163	19473
50	2206	19430
51	2247	19364
52	2261	19074
53	2303	19025
54	2345	18973
55	2367	18769
56	2382	18517
57	2403	18317
58	2424	18121
59	2464	18073
60	2479	17845
61	2520	17806
62	2565	17795
63	2605	17747
64	2646	17712
65	2686	17667
66	2728	17632
67	2736	17387
68	2778	17355
69	2819	17322
70	2840	17161
71	2854	16970
72	2895	16938
73	2937	16911
74	2977	16871
75	3018	16839
76	3044	16725
77	3086	16701
78	3102	16530
79	3141	16494
80	3183	16465
81	3225	16441
82	3265	16407
83	3280	16246
84	3320	16212
85	3361	16183
86	3403	16154
87	3429	16055
88	3469	16023
89	3525	16059
90	3570	16045
91	3611	16016
92	3652	15986
93	3694	15955
94	3735	15924
95	3775	15886
96	3814	15848
97	3859	15832
98	3901	15802
99	3943	15774
100	3984	15740
101	4030	15725
102	4072	15696
103	4113	15662
104	4154	15627
105	4206	15636
106	4248	15602
107	4288	15565
108	4331	15538
109	4373	15505
110	4415	15473
111	4456	15440
